"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","refurl","Q00PARTICIPANT","Q00EXPE","Q00LIEU","Q00QUEST","QMIQ0A","QMIQ02[QMI01]","QMIQ02[QMI02]","QMIQ02[QMI03]","QMIQ02[QMI04]","QMIQ02[QMI05]","QMIQ03[QMI06]","QMIQ03[QMI07]","QMIQ03[QMI08]","QMIQ03[QMI09]","QMIQ03[QMI10]","QMIQ04[QMI11]","QMIQ04[QMI12]","QMIQ04[QMI13]","QMIQ04[QMI14]","QMIQ04[QMI15]","QMIQ05[QMI16]","QMIQ05[QMI17]","QMIQ05[QMI18]","QMIQ05[QMI19]","QMIQ05[QMI20]","QMIQ06[QMI21]","QMIQ06[QMI22]","QMIQ06[QMI23]","QMIQ06[QMI24]","QMIQ06[QMI25]","QMIQ07[QMI26]","QMIQ07[QMI27]","QMIQ07[QMI28]","QMIQ07[QMI29]","QMIQ07[QMI30]","QMIQ08[QMI31]","QMIQ08[QMI32]","QMIQ08[QMI33]","QMIQ08[QMI34]","QMIQ08[QMI35]","Q01Language","Q01Language[comment]","Q02Age","Q03Sex","Q03Sex[comment]","Q04Trouble","Q04Vision","Q04Vision[comment]","Q05Aphant","Q05Aphant[comment]","Q06Aphant","Q06Aphant[comment]","Q07Unvoluntary","Q07Unvoluntary[comment]","Q08Change","Q08Change[comment]","Q09Debrief","Q10Debrief","Q11Debrief","Q11","Q11[comment]","interviewtime","groupTime5559","Q00PARTICIPANTTime","Q00EXPETime","Q00LIEUTime","Q00QUESTTime","groupTime5036","QMIQ0ATime","QMIQ02Time","QMIQ03Time","QMIQ04Time","QMIQ05Time","QMIQ06Time","QMIQ07Time","QMIQ08Time","groupTime4906","Q01LanguageTime","Q02AgeTime","Q03SexTime","Q04TroubleTime","Q04VisionTime","Q05AphantTime","Q06AphantTime","Q07UnvoluntaryTime","Q08ChangeTime","groupTime5625","Q09DebriefTime","Q10DebriefTime","Q11DebriefTime","Q11Time"
"58","2022-04-06 14:46:11","4","fr","1046860518","2022-04-06 14:34:59","2022-04-06 14:46:11","","S034","KAY","","N","OK","04","03","03","04","04","03","05","04","05","06","03","04","05","04","02","06","06","02","06","05","06","03","05","06","06","04","03","06","02","05","06","03","06","06","02","01","","20","01","","N","01","","Y","Mais je ne connaissais pas le nom.","N","","Y","","N","","Oui","Non","Lors de la deuxième expérience (KR), j'ai eu quelques fois l'impression de voir un autre triangle en image rémanente.
Lors de la troisième expérience, j'ai remarque un changement de luminosité du cercle. ","Y","","673.36","21.4","","","","","339.06","","","","","","","","","128.94","","","","","","","","","","183.96","","","",""
"59","2022-04-06 15:54:41","4","fr","136894281","2022-04-06 15:45:35","2022-04-06 15:54:41","","S035","KAY","","N","OK","05","04","06","07","04","06","06","06","05","07","07","07","04","05","05","04","04","05","05","04","05","05","05","06","06","04","04","05","06","06","07","07","04","07","06","01","","30","01","","N","02","","N","","N","","Y","","N","","Oui.","Non.","Non.","Y","","547.73","9.63","","","","","187.8","","","","","","","","","196.52","","","","","","","","","","153.78","","","",""
"60","2022-04-07 08:36:17","4","fr","755561836","2022-04-07 08:29:44","2022-04-07 08:36:17","https://run.pavlovia.org/","P015BR","PEARS","LABO","N","OK","07","07","05","07","07","07","07","07","05","07","05","07","07","07","07","07","07","07","07","07","07","06","07","07","07","06","05","07","07","05","07","07","06","07","07","01","","19","01","","N","01","","N","","N","","Y","","N","","OUI. ELLE A ETE CLAIRE ","NON. PAS D IDEE","NON","Y","","395.22","30.04","","","","","215.5","","","","","","","","","80.82","","","","","","","","","","68.86","","","",""
"61","2022-04-07 09:08:08","4","fr","1690669671","2022-04-07 09:00:00","2022-04-07 09:08:08","https://run.pavlovia.org/","P06BR","PEARS","LABO","N","OK","06","05","05","07","06","06","06","07","07","05","05","06","06","07","07","06","06","06","06","06","05","06","07","07","06","06","06","06","06","06","07","06","06","07","06","01","","20","01","","N","01","","N","","N","","Y","","Y","","OUI","COMMENT NOS PENSEES INFLUENCE NOTRE VISON","NON","Y","","488.42","57.97","","","","","282.4","","","","","","","","","91.92","","","","","","","","","","56.13","","","",""
"62","2022-04-07 10:16:20","4","fr","633593662","2022-04-07 10:08:22","2022-04-07 10:16:20","https://run.pavlovia.org/","P017BR","PEARS","LABO","N","OK","06","05","05","07","04","07","07","07","05","06","04","05","06","06","05","07","07","07","06","05","07","06","07","04","07","03","04","05","05","02","07","07","06","06","06","01","","20","01","","N","01","","N","","N","","Y","","N","","Oui","Non","Non","Y","","478.6","37.95","","","","","341.19","","","","","","","","","70.99","","","","","","","","","","28.47","","","",""
"63","2022-04-07 11:50:44","4","fr","585236680","2022-04-07 11:43:14","2022-04-07 11:50:44","https://run.pavlovia.org/","P018BR","PEARS","LABO","N","OK","05","07","07","07","07","03","03","02","01","01","05","05","01","04","04","06","02","07","07","07","05","02","02","01","04","04","06","06","07","02","05","06","06","07","06","01","","21","01","","N","01","","N","","N","","NOSUR","","N","","Plutôt les hypothèses oui.","D'être capable ou pas visualiser des formes imaginaires.","non","Y","","452.92","43.48","","","","","226.69","","","","","","","","","81.79","","","","","","","","","","100.96","","","",""
"64","2022-04-07 13:01:26","4","fr","341907095","2022-04-07 12:56:54","2022-04-07 13:01:26","https://run.pavlovia.org/","PO19BR","PEARS","LABO","N","OK","03","03","03","05","04","04","04","05","04","06","04","05","03","04","04","05","03","05","05","04","05","05","03","04","05","05","04","03","04","01","06","05","05","05","05","01","","19","01","","N","01","","Y","","N","","Y","","N","","Oui très claire","Je n'ai pas d'idées","Non","Y","","274.44","28.44","","","","","151.78","","","","","","","","","54.4","","","","","","","","","","39.82","","","",""
"65","2022-04-07 13:37:58","4","fr","2008957828","2022-04-07 13:27:05","2022-04-07 13:37:58","https://run.pavlovia.org/","P020BR","PEARS","LABO","N","OK","05","05","06","07","06","07","07","07","07","07","05","07","07","06","06","05","05","06","06","04","05","05","05","05","05","06","05","07","07","07","07","07","07","07","07","01","","20","01","","N","01","","Y","En cours de neuropsychologie clinique","N","","Y","","N","","Assez mais il y a avait souvent beaucoup de texte, ce qui rendait difficile l'assimilation de consignes. ","Les personnes souffrant d'aphantasie auront tendance à ne pas réussir à imaginer les images mentales demandées","Le fait de ne pas toujours savoir si les lignes étaient mélangées ou non. Ainsi que la confusion entre les touches","Y","","654.11","43","","","","","300.15","","","","","","","","","112.11","","","","","","","","","","198.85","","","",""
"66","2022-04-07 14:09:00","4","fr","","2022-04-07 14:02:00","2022-04-07 14:09:00","https://run.pavlovia.org/","P021BR","PEARS","LABO","N","OK","04","04","03","05","05","01","02","04","02","04","01","01","02","02","02","05","05","05","05","04","04","04","04","03","03","02","01","01","01","01","04","04","03","04","03","01","","20","01","","N","02","","N","","N","","Y","","N","","Oui","Non","Non","N","","400.48","41.24","","","","","252.62","","","","","","","","","64.09","","","","","","","","","","42.53","","","",""
"67","2022-04-07 14:38:32","4","fr","1050382367","2022-04-07 14:35:59","2022-04-07 14:38:32","https://run.pavlovia.org/","P022BR","PEARS","LABO","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Oui, les consignes étaient claires.","On ne voit pas la même couleur saillante selon notre oeil dominant et selon la couleur que l'on s'est imaginée avant. ","Le fait que les yeux se fatiguent au bout d'un certain temps.","Y","","154.72","40.88","","","","","","","","","","","","","","","","","","","","","","","","113.84","","","",""
"68","2022-04-07 15:20:50","4","fr","1169733188","2022-04-07 15:13:41","2022-04-07 15:20:50","https://run.pavlovia.org/","P023BR","PEARS","LABO","N","OK","06","07","07","07","05","06","06","06","04","06","06","06","07","07","05","06","04","05","06","05","05","05","06","04","05","04","04","04","05","05","06","07","05","06","07","01","","20","01","","N","01","","N","","N","","Y","","N","","OUI","Que les personnes avec une aphantasie visuelle n'arrive pas à se représenter les lignes C et R et donc ne voient pas de couleur dominante ?","Oubli de la lettre parfois","Y","","429.45","46.23","","","","","187.14","","","","","","","","","75.93","","","","","","","","","","120.15","","","",""
"69","2022-04-08 06:58:19","4","fr","798469462","2022-04-08 06:50:59","2022-04-08 06:58:19","","S036","KAY","","N","OK","07","07","05","06","05","06","07","05","06","04","04","06","06","07","06","07","06","05","06","05","04","05","04","05","06","07","06","06","06","05","07","06","05","07","06","01","","21","01","","N","03","légé strabisme","N","","N","","Y","","Y","","très","non","non","Y","","440.49","11.8","","","","","281.92","","","","","","","","","99.53","","","","","","","","","","47.24","","","",""
"70","2022-04-08 07:48:53","4","fr","612215866","2022-04-08 07:42:40","2022-04-08 07:48:53","","S037","KAY","","N","OK","07","07","07","07","07","07","07","07","06","07","06","06","06","06","06","06","06","07","07","07","07","07","07","07","07","07","06","06","07","07","06","04","05","05","06","01","","20","01","","N","01","","Y","","N","","Y","","N","","Oui","La capacité de fixation du regard détermine le degré de visualisation dont nous sommes capable","","Y","","372.74","34.56","","","","","179.87","","","","","","","","","64.28","","","","","","","","","","94.03","","","",""
"71","2022-04-08 10:52:53","4","fr","1979500117","2022-04-08 10:46:22","2022-04-08 10:52:53","","S038","KAY","","N","OK","05","05","04","06","07","05","06","06","03","05","06","04","05","06","02","05","03","06","03","02","05","06","04","04","06","06","04","03","06","06","05","06","05","04","06","01","","19","01","","N","02","","Y","","N","","Y","","N","","OUI","non","non","Y","","392.92","13.75","","","","","244.52","","","","","","","","","88.01","","","","","","","","","","46.64","","","",""
"72","2022-04-08 12:46:24","4","fr","274567612","2022-04-08 12:36:20","2022-04-08 12:46:24","","S039","KAY","","N","OK","05","05","04","06","04","03","03","04","05","05","05","05","05","06","05","05","06","07","06","06","03","04","04","03","06","05","04","05","05","06","03","05","05","05","05","01","","20 ","01","","N","01","","N","","N","","Y","","Y","","oui","Oui. La dilatation de la pupille change en fonction de ce qu'on imagine (degré d'éclairement)","Non","Y","","605.64","18.42","","","","","331.25","","","","","","","","","93.07","","","","","","","","","","162.9","","","",""
"73","2022-04-08 13:45:11","4","fr","1753469970","2022-04-08 13:39:14","2022-04-08 13:45:11","","S040","KAY","","N","OK","07","04","06","07","07","02","06","06","02","04","07","07","07","07","06","06","07","05","06","05","07","07","06","06","07","07","07","07","07","06","07","07","07","07","06","01","","21","01","","N","02","","N","","","","Y","","Y","","oui très claire","c'est peut etre par rapport au fait qu'on puisse s'imaginer (ou non) des images, en fonction de la couleur, de la forme, de la position ?","non","N","","358.31","28.15","","","","","147.09","","","","","","","","","88.41","","","","","","","","","","94.66","","","",""
"74","2022-04-09 17:09:54","4","fr","1333966575","2022-04-09 17:03:55","2022-04-09 17:09:54","https://run.pavlovia.org/","PWQDD01BR","PEARS","OL","N","OK","07","06","07","05","06","07","07","07","07","07","05","06","06","07","06","05","06","05","05","07","05","05","05","05","07","04","05","05","05","05","05","05","04","05","04","01","","31","02","","N","01","","N","","N","","Y","","N","","OUI","supposer une éventuelle influence des évènements extérieurs sur notre perceptions et notre capacité d'abstraction ","j'ai eu le sentiment qu'on essayait de faire correspondre le bleu avec un son aigu et le rouge avec un son grave afin que par la suite je me concentre davantage sur le son que sur la couleur ","Y","","360.22","36.21","","","","","145.61","","","","","","","","","62.33","","","","","","","","","","116.07","","","",""
"75","2022-04-11 08:52:14","4","fr","1198891752","2022-04-11 08:40:57","2022-04-11 08:52:14","","S041","KAY","","N","OK","06","06","06","05","05","07","05","07","06","05","06","04","05","06","06","06","07","06","05","06","01","02","03","01","03","05","04","03","06","05","04","03","01","03","01","01","","19","02","","N","01","","Y","Vidéo de vulgarisation scientifique sur Youtube","N","","Y","","N","","Oui, très claire","Lors d'une visualisation d'une objet de manière mentale; la suggestion des contours aideraient à mieux former l'image mentalement.","","Y","naomi.azu@protonmail.com","678.48","45.67","","","","","338.06","","","","","","","","","115.56","","","","","","","","","","179.19","","","",""
"76","2022-04-11 09:38:43","4","fr","2111114750","2022-04-11 09:30:07","2022-04-11 09:38:43","","S042","KAY","","N","OK","04","04","03","02","04","05","02","02","01","04","02","04","01","04","04","03","01","03","04","03","05","02","02","01","01","03","01","02","03","01","05","05","03","06","04","01","","21","01","","N","01","","N","","N","","Y","","N","","oui","non","non ","Y","","517.33","14.55","","","","","362.29","","","","","","","","","75.28","","","","","","","","","","65.21","","","",""
"77","2022-04-11 10:59:35","4","fr","1090898135","2022-04-11 10:49:45","2022-04-11 10:59:35","","S043","KAY","","N","OK","06","06","05","06","05","04","05","06","02","05","06","06","03","05","02","04","03","06","07","06","05","06","01","03","06","01","05","06","05","06","07","06","06","06","04","01","","21","01","","N","01","","Y","","Y","","Y","","Y","","OUI","","J'étais pas en forme","Y","","592.06","11.76","","","","","345.7","","","","","","","","","117.76","","","","","","","","","","116.84","","","",""
"78","2022-04-11 12:42:53","4","fr","179397146","2022-04-11 12:36:27","2022-04-11 12:42:53","","S044","KAY","","N","OK","06","07","03","07","05","04","04","04","04","04","06","06","03","03","04","04","04","04","04","06","06","04","04","04","04","04","04","04","04","04","07","04","04","07","04","01","","21","01","","N","02","","N","","Y","","Y","","N","","OUI","OUI comment on se represente les choses et la facon dont on les imagine ","non","Y","","388.02","18.07","","","","","219.71","","","","","","","","","68.49","","","","","","","","","","81.75","","","",""
"79","2022-04-11 13:48:23","4","fr","289711754","2022-04-11 13:37:20","2022-04-11 13:48:23","","S045","KAY","","N","OK","01","01","01","01","01","02","02","02","02","02","05","05","05","05","05","04","03","04","04","03","04","04","04","04","04","03","05","05","04","04","07","05","05","06","05","01","","19","01","","N","01","","N","","N","","Y","","Y","","oui","chaque individu imagine différemment les images","images rémanentes","Y","","664.96","11.66","","","","","457.2","","","","","","","","","132.82","","","","","","","","","","63.28","","","",""
"80","2022-04-11 15:42:46","4","fr","1532460964","2022-04-11 15:36:17","2022-04-11 15:42:46","","S046","KAY","","N","OK","07","06","06","07","07","05","07","06","07","07","06","06","07","06","06","06","05","07","07","05","06","06","05","05","06","06","07","05","07","04","07","07","05","07","07","01","","19","01","","N","01","","N","","N","","Y","","N","","OUI","non","non","Y","","389.98","12.93","","","","","259.38","","","","","","","","","78.38","","","","","","","","","","39.29","","","",""
"81","2022-04-12 07:43:26","4","fr","665297008","2022-04-12 07:34:24","2022-04-12 07:43:26","","S047","KAY","","N","OK","05","05","04","05","05","05","05","05","05","05","04","05","04","05","05","06","04","05","06","06","06","06","06","06","06","06","05","04","06","05","06","06","06","06","06","01","","21","01","","N","01","","N","","N","","Y","","N","","oui très claire","","après la première phase, le fait de avoir si je visualise mieux telle ou telle couleur","Y","","542.45","18.94","","","","","279.06","","","","","","","","","122.94","","","","","","","","","","121.51","","","",""
"82","2022-04-12 08:53:55","4","fr","2007173498","2022-04-12 08:43:40","2022-04-12 08:53:55","","S048","KAY","","N","OK","06","06","07","07","06","06","04","06","07","06","03","06","04","04","03","04","04","05","06","04","06","05","05","03","05","05","05","06","06","04","05","06","04","07","06","01","","23","01","","N","02","","N","","N","","Y","","Y","","Oui","non","non","Y","","616.82","20.43","","","","","323.36","","","","","","","","","195.06","","","","","","","","","","77.97","","","",""
"83","2022-04-12 09:52:44","4","fr","1025130114","2022-04-12 09:38:09","2022-04-12 09:52:44","","S049","KAY","","N","OK","06","06","05","07","07","04","03","05","03","06","06","05","06","06","05","04","03","05","05","03","04","03","04","05","06","05","02","03","06","04","05","06","04","04","06","01","","18","01","","N","02","","Y","DANS UN COURS DE QUESTIONS ACTUELLES DE PSYCHOLOGIE COGNITIVE MAIS TRèS TRèS BRIèVEMENT QUASIMEment que de nom","N","","Y","","N","","oui","non ","pour la deuxième partie (IF) avoir demander si une orientation ou une couleur posait plus de difficulté m'a influencée, plus d'apriori de moins réussir si j'avais identifier avoir eu plus de difficulté ","N","","876.27","13.4","","","","","352.15","","","","","","","","","231.18","","","","","","","","","","279.54","","","",""
"84","2022-04-12 10:52:49","4","fr","1227800989","2022-04-12 10:38:26","2022-04-12 10:52:49","","S050","KAY","","N","OK","02","03","04","02","02","05","06","06","04","06","02","01","02","03","01","06","05","05","05","04","05","04","03","03","05","02","01","02","03","01","06","06","03","06","05","01","","19","01","","N","01","","N","","Y","","Y","","Y","Maintenant je pense plus en terme de voix qui me decrit les evenements alors que avant je voyais plus les images d'une situation ","oui","oui les personnes aphantasiques seront plus mauvaises a l'imagination des formes et couleurs ","oui les images rémanentes. SACHANT QUE JE SAVAIS QUE JE DEVAIS VOIR DE LA COULEUR JE PENSAIS EN VOIR SANS VRAIMENT EN VOIR ","Y","","864.37","69.28","","","","","341.2","","","","","","","","","236.43","","","","","","","","","","217.46","","","",""
"85","","1","fr","1973044350","2022-04-12 12:38:37","2022-04-12 12:38:51",""," ","MATHO","","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.69","14.69","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"86","2022-04-12 13:46:23","4","fr","589500051","2022-04-12 13:36:31","2022-04-12 13:46:23","","S051","KAY","","N","OK","05","04","02","05","06","05","03","04","02","06","04","05","05","05","03","05","03","06","05","04","04","05","01","01","04","04","03","03","05","01","04","05","03","06","03","01","","21","01","","N","02","","Y","Dans le cadre de mes études, mais je ne me souviens pas vraiment de la définition","N","","Y","","Y","Avant je me souvenais plus clairement de mes pensées, maintenant beaucoup moins","Oui","Non","L'image rémanente au début","Y","","593.02","15.43","","","","","336.16","","","","","","","","","201.01","","","","","","","","","","40.42","","","",""
"87","2022-04-12 14:51:43","4","fr","485567449","2022-04-12 14:43:12","2022-04-12 14:51:43","","S052","KAY","","N","OK","05","06","06","06","04","04","06","06","05","06","05","06","06","06","04","06","05","06","05","06","06","06","02","05","06","06","06","04","04","06","06","05","04","04","07","01","","19","01","","N","01","","N","","N","","Y","","Y","","oui très claire","la représentation mentale d'une forme géométrique avec des temps d'attente ou l'image de ""neige"" et également en fonction de la couleur de la forme.","","Y","","512.32","31.69","","","","","275.83","","","","","","","","","105.92","","","","","","","","","","98.88","","","",""
"88","2022-04-13 07:51:23","4","fr","1787417824","2022-04-13 07:44:15","2022-04-13 07:51:23","","S053","KAY","","N","OK","01","06","01","03","02","03","04","05","01","02","01","04","02","01","02","02","02","04","03","02","01","01","01","01","01","02","02","03","02","01","04","02","03","04","02","01","","19","01","","N","02","","N","","N","","NOSUR","","Y","","OUI","non","non","Y","","429.58","13.69","","","","","268.36","","","","","","","","","89.44","","","","","","","","","","58.09","","","",""
"89","","1","fr","480712054","2022-04-13 08:43:26","2022-04-13 08:43:34","","nope","MATHO","","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.88","8.88","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90","2022-04-13 10:55:19","4","fr","1349600187","2022-04-13 10:44:32","2022-04-13 10:55:19","","S054","KAY","","N","OK","06","04","03","06","07","06","05","04","02","06","06","06","03","06","07","05","03","07","05","04","07","06","06","06","06","05","03","04","06","02","07","06","06","07","06","02","","21","01","","N","01","","Y","DANS UN INTERVIEW ","N","","Y","","Y","J'ai plus de vivacité dans mes pensées, reveries éveillées dans des periodes de stress.","Oui","D'etudier l'imagerie visuelle et du fonctionnement des yeux pendant l'imagerie visuelle ","Non","Y","","647.61","18.55","","","","","380.86","","","","","","","","","189.19","","","","","","","","","","59.01","","","",""
"91","2022-04-13 12:48:28","4","fr","1146188842","2022-04-13 12:40:35","2022-04-13 12:48:28","","S055","KAY","","N","OK","04","05","05","06","05","03","03","05","05","06","03","03","05","05","03","07","07","07","07","07","03","03","05","04","04","05","04","04","05","03","05","05","04","04","03","01","","20","01","","N","01","","Y","Une amie à la fac m'a parlé du fait qu'a certains moment elle n'arrivait pas à imaginer certaine chose mentale","N","","Y","","N","","oui","non","non","Y","","474.65","10.22","","","","","272.27","","","","","","","","","143.73","","","","","","","","","","48.43","","","",""
"92","2022-04-13 14:10:18","4","fr","968047345","2022-04-13 14:02:13","2022-04-13 14:10:18","https://enquetes-screen.msh-alpes.fr/index.php/793126","S056","KAY","","N","OK","06","05","03","07","05","05","05","06","02","07","05","06","07","06","04","05","04","05","06","05","03","04","04","05","05","05","06","05","06","05","06","06","05","06","04","03","arabe","20","01","","N","01","","N","","N","","Y","","Y","","oui","non","non","Y","","484.84","11.05","","","","","318.82","","","","","","","","","112.62","","","","","","","","","","42.35","","","",""
"93","2022-04-13 14:54:26","4","fr","1529288511","2022-04-13 14:47:29","2022-04-13 14:54:26","","S057","KAY","","N","OK","07","07","05","07","03","02","07","07","05","07","07","04","03","07","07","07","06","06","07","03","07","03","06","03","07","03","03","06","05","03","07","07","07","07","06","01","","19","01","","N","01","","N","","N","","Y","","N","","oui","non","non","Y","","417.8","22.25","","","","","277.79","","","","","","","","","82.63","","","","","","","","","","35.13","","","",""
"94","2022-04-13 16:03:44","4","fr","1358801908","2022-04-13 15:42:00","2022-04-13 16:03:44","","S058","KAY","","N","OK","05","04","04","05","04","03","03","07","03","07","05","06","05","07","07","07","04","02","06","07","05","06","05","03","04","05","03","05","06","04","07","06","07","07","05","01","Français et anglais ","23","01","","N","01","","N","","Y","Image présente mais souvent sans détails, juste la forme et parfois les couleurs","FORGT","","Y","Suite une traitement pour crise d’épilepsie enfantine, difficulté à imaginer ou visualiser des images post prise de médicament. C'est encore le cas 10 ans après avoir arrêter les crises et les médicaments (8ans)","Oui ","Non","Le nuage de neige. Il attirer le regard donc faisait bouger du centre de l'écran et affecté la manière d'imaginer le triangle par la suite ","Y","","1306.08","20.2","","","","","262.05","","","","","","","","","668.88","","","","","","","","","","354.95","","","",""

